company,product,series,brand,part_number,country,chassis,main_page,navigate_second,lenovo_chassis,navigate_add_to_cart,model_name,price,discounted_price,discount,processor,operating system,display,memory,hard drive,graphics,camera,bluetooth,warrenty,battery
elpalaciodehierro,computer,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/apple-imac-27-intel-core-i5-ram-8-gb-ssd-256-gb-41208204.html,,,"iMac 27"", Intel Core i5, RAM 8 GB, SSD 256 GB",49999,49999,,Intel Core i5 de 6 n&uacute;cleos y 3.1 GHz de d&eacute;cima generaci&oacute;n (Turbo Boost de hasta 4.5 GHz),macOS Catalina,27",8 GB de memoria DDR4 de 2666 MHz,SSD 256 GB,,,,,
elpalaciodehierro,computer,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/apple-imac-27-intel-core-i5-ram-8-gb-ssd-512-gb-41208205.html,,,"iMac, 27"", Intel Core i5, RAM 8 GB, SSD 512 GB",54999,54999,,Procesador Intel Core i5 de 6 n&uacute;cleos y 3.3 GHz de d&eacute;cima generaci&oacute;n (Turbo Boost de hasta 4.8 GHz),macOS Catalina,27",8 GB de memoria DDR4 de 2666 MHz,SSD 512 GB,,,,,
elpalaciodehierro,computer,,Hp,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/hp-pavilion-aio-24-k0001la-intel-core-i5-8gb-1tb-256-gb-ssd-23.8-41155007.html,,,"Pavilion AIO 24-k0001la, Intel Core i5, 8GB, 1TB + 256 GB SSD, 23.8""",28899.15,33999,,Intel Core i5,Windows 10 Home,23.8",8 GB,1 TB + 256 GB SSD,,,,,
elpalaciodehierro,laptop,,Hp,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/laptops/,https://www.elpalaciodehierro.com/hp-omen-15-ek0007la-intel-core-i7-16-gb-512-gb-ssd-32-gb-intel-optane-15.6-41154903.html,,,"OMEN 15-ek0007la, Intel Core i7, 16 GB, 512 GB SSD + 32 GB Intel Optane 15.6""",62941.5,69935,,Intel Core i7,Windows 10 Home,15.6",16 GB,512 GB SSD + 32 GB Intel Optane,,,,,
elpalaciodehierro,computer,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/apple-imac-21.5-intel-core-i3-ram-8-gb-ssd-256-gb-41208202.html,,,"iMac 21.5"", Intel Core i3, RAM 8 GB, SSD 256 GB",36999,36999,,Intel Core i3 de 4 n&uacute;cleos y 3.6 GHz de octava generaci&oacute;n,macOS Catalina,21.5",8 GB de memoria DDR4 de 2666 MHz,SSD 256 GB,,,,,
elpalaciodehierro,computer,,iBUYPOWER,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/ibuypower-computadora-de-escritorio-gaming-nvidia-geforce-rtx-2060-intel-core-7-ram-16-gb-1-tb-40834113.html,,,"Computadora de Escritorio Gaming, Nvidia GeForce RTX 2060, Intel Core 7, RAM 16 GB, 1 TB",48959.1,54399,,i7 9700F,Windows 10,,16 GB,1 TB,GeForce RTX 2060,,,GeForce RTX 2060,
elpalaciodehierro,computer,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/apple-imac-21.5-intel-core-i5-ram-8-gb-ssd-256-gb-41208203.html,,,"iMac 21.5"", Intel Core i5, RAM 8 GB, SSD 256 GB",41999,41999,,Intel Core i5 de 6 n&uacute;cleos y 3.0 GHz de octava generaci&oacute;n (Turbo Boost de hasta 4.1 GHz),macOS Catalina,21.5",8 GB de memoria DDR4 de 2666 MHz,SSD 256 GB,,,,,
elpalaciodehierro,computer,,Apple,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/apple-desktop-imac-21.5-core-i5-ram-8-gb-ddr4-256-gb-41208201.html,,,"Desktop iMac, 21.5"", Core i5, RAM 8 GB DDR4, 256 GB",29999,29999,,,macOS Catalina,21.5" (diagonal) retroiluminada por LED,8 GB DDR4 de 2133 MHz,256 GB,,,,,
elpalaciodehierro,computer,,iBUYPOWER,,MX,,https://www.elpalaciodehierro.com/electronica/computadoras/computadoras-de-escritorio/,https://www.elpalaciodehierro.com/ibuypower-computadora-de-escritorio-gaming-r7-nvidia-geforce-gtx-1660-ti-ryzen-7-3700x-ram-16-gb-dd-1-tb-40834111.html,,,"Computadora de Escritorio Gaming R7, Nvidia GeForce GTX 1660 Ti, Ryzen 7 3700X, RAM 16 GB, DD 1 TB",36269.1,40299,,Ryzen 7 3700X,Windows 10,,16 GB,1 TB,GeForce GTX 1660 Ti,,,GeForce GTX 1660 Ti,
elpalaciodehierro,tablets,,Samsung,,MX,,https://www.elpalaciodehierro.com/electronica/tablets/tablets/,https://www.elpalaciodehierro.com/samsung-tablet-galaxy-tab-a-8.0-quad-core-ram-2-gb-dd-32-gb-negra-40263320.html,,,"Tablet Galaxy Tab A, 8.0'', Quad-Core, RAM 2 GB, DD 32 GB, Negra",3599,3599,,Quad-Core,Android,8.0'',,2 GB,,,,,
